station_type,primary_key,X,Y,Z
Eloc,PK-0114,318605.4318,6693708.243,588.528052
Eloc,PK-0115,318592.4684,6693715.764,587.866756
Eloc,PK-0116,318591.4203,6693692.47,588.217701
Eloc,PK-0117,318589.2885,6693637.326,593.319222
Eloc,PK-0118,318580.9258,6693622.621,595.622983
Eloc,PK-0119,318576.5621,6693587.531,599.360221
Eloc,PK-0120,318557.6505,6693574.599,601.621471
Eloc,PK-0121,318553.836,6693561.158,601.442775
Eloc,PK-0122,318496.7898,6693532.868,606.219152
Eloc,PK-0123,318472.1646,6693517.636,608.732375
Eloc,PK-0124,318472.0588,6693503.96,609.3622
Eloc,PK-0125,318484.9287,6693491.824,611.066
Eloc,PK-0126,318493.966,6693488.67,612.859556
Eloc,PK-0127,318533.4619,6693509.359,621.439955
Eloc,PK-0128,318527.912,6693534.259,620.044203
Eloc,PK-0129,318517.6951,6693546.459,618.4041
Eloc,PK-0130,318479.9858,6693537.93,621.598469
Eloc,PK-0131,318392.0733,6693519.237,628.209064
Eloc,PK-0132,318328.506,6693506.26,632.75424
Eloc,PK-0133,318273.878,6693495.404,639.875133
Eloc,PK-0134,318244.0829,6693489.973,643.189013
Eloc,PK-0135,318219.2781,6693478.297,644.94
Eloc,PK-0136,318171.168,6693450.438,651.131454
Eloc,PK-0137,318141.0351,6693432.078,655.360491
Eloc,PK-0138,318134.2799,6693418.833,656.825449
Eloc,PK-0139,318131.6609,6693407.146,657.02979
Eloc,PK-0140,318122.3206,6693396.164,658.838743
Eloc,PK-0141,318121.9017,6693384.558,658.925
Eloc,PK-0142,318126.7072,6693363.35,661.366022
Eloc,PK-0143,318145.8339,6693328.153,663.410537
Eloc,PK-0144,318150.8432,6693283.326,665.001
Eloc,PK-0145,318172.4005,6693257.994,665.001
Eloc,PK-0146,318196.1989,6693239.915,664.80725
Eloc,PK-0147,318216.6117,6693195.706,667.066567
Eloc,PK-0148,318327.8746,6693141.157,664.880005
Eloc,PK-0149,317112.5528,6691098.099,948
Eloc,PK-0001,317277.3552,6693706.427,866.75
